"movieId","title","genres","tmdbId","overview","poster_path","backdrop_path","release_date","runtime","tmdb_vote","vote_count","popularity","original_title","trailer_key"
"1","Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy","862","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg","/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg","1995-11-22","81","7.971","19309","17.4898","Toy Story","CxwTLktovTU"
"2","Jumanji (1995)","Adventure|Children|Fantasy","8844","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","/iWV47r6kFneCiApgrMII5HSkfHw.jpg","/qSxeCfWUUyht9hZgaaYmtPtTkw2.jpg","1995-12-15","104","7.243","10975","2.8246","Jumanji","veszTagaXik"
"3","Grumpier Old Men (1995)","Comedy|Romance","15602","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg","/1o4vuCHpmd4DXofMYDUwpnhKiuy.jpg","1995-12-22","101","6.483","410","2.8267","Grumpier Old Men","rEnOoWs3FuA"
"4","Waiting to Exhale (1995)","Comedy|Drama|Romance","31357","Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","/qJU6rfil5xLVb5HpJsmmfeSK254.jpg","/pD4y3xaWac9VfJoR99ovlfFHUbA.jpg","1995-12-22","127","6.3","179","4.7329","Waiting to Exhale","j9xml1CxgXI"
"5","Father of the Bride Part II (1995)","Comedy","11862","Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.","/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg","/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg","1995-12-08","106","6.3","779","5.3412","Father of the Bride Part II","yCg8WNQwe0A"
"6","Heat (1995)","Action|Crime|Thriller","949","Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","/umSVjVdbVwtx5ryCA2QXL44Durm.jpg","/5JaR6UEoCJJLtLpqFOVMY4O4R7P.jpg","1995-12-15","170","7.922","7929","10.3744","Heat","14oNcFxiVaQ"
"7","Sabrina (1995)","Comedy|Romance","11860","Sabrina Fairchild, a chauffeur's daughter, grew up at the Long Island estate of the wealthy Larrabee family enchanted with their sparkling world of privilege and wealth, but she's especially enamored of younger son David, a charming playboy. After the once plain Sabrina returns from a sojourn in Paris transformed into a glamorous young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, formidable older brother Linus devises a plan to keep them apart.","/i8PbLJDPU7vCwwscWD625oHbJy.jpg","/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg","1995-12-15","127","6.2","657","5.5035","Sabrina","iEqPw_QP28c"
"8","Tom and Huck (1995)","Adventure|Children","45325","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","/bMY31ikEOIPOHqQwhPhII8UVBln.jpg","/jP8lHNHD89xaRPfAdyz5KEVYcSb.jpg","1995-12-22","97","5.261","203","3.0788","Tom and Huck","-C-xXZyX2zU"
"9","Sudden Death (1995)","Action","9091","When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.","/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg","/wPSHboBNEInknw4VnCWOD2D8qc2.jpg","1995-10-27","110","6.0","774","1.7867","Sudden Death","tEL21KB9rT4"
"10","GoldenEye (1995)","Action|Adventure|Thriller","710","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.","/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg","/fIWsCpYR9iGDMSbMTSAzy8L7Kg5.jpg","1995-11-16","130","6.897","4154","5.5821","GoldenEye","_PMD6YenOEg"
"11","American President, The (1995)","Comedy|Drama|Romance","9087","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg","/62BnXyJtVEq4WKNSpnPG7QPYYDI.jpg","1995-11-17","113","6.5","754","5.2283","The American President","5E3VG3LL1Mo"
"12","Dracula: Dead and Loving It (1995)","Comedy|Horror","12110","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.","/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg","/rLUTSWHmphMe0wH0WSFxcywzOHW.jpg","1995-12-22","88","6.082","1051","4.9039","Dracula: Dead and Loving It","ctsxTvTQUZI"
"13","Balto (1995)","Adventure|Animation|Children","21032","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg","/tNhmSedhPFBgYobhp5PxKyDVCez.jpg","1995-12-22","78","7.302","2118","2.4677","Balto","GKH3bVyBDsg"
"14","Nixon (1995)","Drama","10858","A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.","/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg","/zAaFQHZV23SJgSwRBvW5PeD219H.jpg","1995-12-22","192","6.9","385","2.887","Nixon","dO2LWKpeyI8"
"15","Cutthroat Island (1995)","Action|Adventure|Romance","1408","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg","/ndjMBg9FINJBEi1RaP64oLApR1s.jpg","1995-12-22","124","5.8","594","4.9701","Cutthroat Island","WFn7VVN3Wvk"
"16","Casino (1995)","Crime|Drama","524","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.","/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg","/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg","1995-11-22","179","7.993","6262","8.6208","Casino","zFUKn_75m1o"
"17","Sense and Sensibility (1995)","Drama|Romance","4584","The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.","/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg","/mZfkW31Y9a8DvISpO9nj5Tc7neo.jpg","1995-12-13","136","7.42","1779","9.7278","Sense and Sensibility","5unqnd-CGz4"
"18","Four Rooms (1995)","Comedy","5","It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.","/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg","/f2t4JbUvQIjUF5FstG1zZFAp02N.jpg","1995-12-09","98","5.9","2759","3.1256","Four Rooms","S_Pd2pGkq54"
"19","Ace Ventura: When Nature Calls (1995)","Comedy","9273","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg","/8JqXx6Tm6P4UEU8zAyC0A8R8bvz.jpg","1995-11-10","90","6.322","4376","5.2087","Ace Ventura: When Nature Calls","DfqPjRMsRP0"
"20","Money Train (1995)","Action|Comedy|Crime|Drama|Thriller","11517","When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.","/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg","/gyaBJn7eR8Ol205wmT2Xpi6IuhA.jpg","1995-11-21","110","5.9","819","4.0032","Money Train","5Odo80-WFgM"
